lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_ukr	full_cat_ukr
hann	pfn	fp	285303	19	403784		Hann	var með 45 milljónir í laun.		Hann	mætti í morgun.	han	Fornafn	pers.pron.	1K									hann	honum	hans	þeir	þá	þeim	þeirra											hann.mp3	he	він	займенник
um	fs	a	272090	20.5	495334	Við fjöllum nánar	um	þetta í fréttum okkar klukkan hálf sjö.	Við tölum	um	þetta á morgun.	ʏm	Forsetning	prep.	1K								um																		um.mp3	about; during; approximately	про; протягом(під час); приблизно	прийменник
en	st	c	224841	22	495359	Mest er atvinnuleysi á höfuðborgarsvæðinu	en	þar eru tæplega 8.800 skráðir.	Vinkona mín drakk kaffi	en	ég drakk te.	ɛn	Samtenging	conj.	1K								en																		en.mp3	but	але	сполучник
við	fs	a	209457	24	495347	Hann hefur sett sig í samband	við	lögfræðing vegna málsins.	Tréð stendur	við	húsið.	vɪːð	Forsetning	prep.	1K								við																		við.mp3	with; alongside	з; поряд	прийменник
ekki	ao	a	209020	26	496738	Kreppan er	ekki	bara mál Íslendinga.	Við hittumst	ekki 	í gær.	ɛhcɪ	Atviksorð	adv.	1K								ekki																		ekki.mp3	not	ні	прислівник
þessi	fn	fa	200719	27	478813		Þessi	maður á að segja af sér.		Þessi	dagur verður góður.	θɛsɪ	Fornafn	pron.	1K																þessir -- þessar -- þessi	þessi  --  þessi -- þetta									þessi.mp3	this	цей; ця; ций	займенник
með	fs	a	189194	29	495300	Þeir komust þó upp	með	hjálp nálægra manna.	Börnin gengu	með	kennaranum.	mɛːð	Forsetning	prep.	1K								með																		með.mp3	with; among	з; серед	прийменник
fyrir	fs	a	169606	32	495283		Fyrir	mistök komst heitt vatn í samband við ammoníak.	Hún kaupir mat	fyrir 	mig.	fɪːrɪr	Forsetning	prep.	1K								fyrir																		fyrir.mp3	before; for; in the way of	до; для; на шляху до	прийменник
hún	pfn	fp	158461	34.5	403785		Hún	á von á barni.		Hún	gekk út.	huːn	Fornafn	pers.pron.	1K									hana	henni	hennar	þær	þær	þeim	þeirra											hún.mp3	she	вона	займенник
af	fs	a	152917	36.5	495267	Forsetinn segir þetta gefa ranga mynd	af	samtali sínu.	Vatnið rennur	af 	þakinu.	aːf	Forsetning	prep.	1K								af																		af.mp3	off, from; because of	від; тому що	прийменник
að	fs	a	147651	38.5	495266	Sá eldur varð minnst 21	að	bana.	Við hlæjum	að	brandaranum.	aːð	Forsetning	prep.	1K								að																		að.mp3	towards; in, during	у напряку до (на шляху); в; під час	прийменник
sá	fn	fa	147013	40	478812		Sú	hugmynd hefur verið kynnt ráðherrum ríkisstjórnar.		Sá	hestur er góður.	sauː	Fornafn	pron.	1K																þeir -- þær -- þau	sá  --  sú -- það									sá.mp3	that one	той	займенник
verða	so	s	140153	41	434440	Upplýsingarnar	verða	notaðar til að móta ýmsar aðgerðir ríkisstjórnarinnar.	Þú	verður	ekki hrædd.	vɛrða	Sagnorð	v.	1K	verð	verður	verður	varð	varðst	varð	orðið																			verða.mp3	become; have to	становитися; повинен	дієслово
koma	so	s	123103	42	434272	Þetta	kemur	fram í Fréttablaðinu í dag.	Pakkinn	kemur	á morgun.	kʰɔːma	Sagnorð	v.	1K	kem	kemur	kemur	kom	komst	kom	komið																			koma.mp3	come	приходити	дієслово
allur	fn	fo	113770	43	478757	Við erum	öll	á sama báti.	Við ferðumst	allan	daginn.	atlʏr	Fornafn	pron.	1K																allir -- allar -- öll	allur  --  öll -- allt									allur.mp3	all; complete	усе; завершений	займенник
segja	so	s	105000	44	436219	Forsetinn	segir	þetta gefa ranga mynd af samtali sínu.	Ég	segi 	þeim fréttirnar.	seija	Sagnorð	v.	1K	segi	segir	segir	sagði	sagðir	sagði	sagt																			segja.mp3	say; tell	говорити; розповідати	дієслово
sig	afn	fp	103516	45	403779	Hann hefur sett	sig	í samband við lögfræðing vegna málsins.	Barnið klæddi	sig	sjálft.	sɪːɣ	Fornafn	refl.pron.	1K																		sig	sér	sín						sig.mp3	oneself	себе	займенник
ár	hk	nh	95964	46	466	Hann hlaut meistarapróf í hagfræði frá Oslóarháskóla	árið	1985	Þau ferðast á hverju	ári	.	auːr	Nafnorð	n.	1K									ár	ári	árs	ár	ár	árum	ára											ár.mp3	year	рік	іменник
annar	fn	fo	94459	47	478796		Aðrir	stjórnmálamenn hafa einnig tjáð sig.	Við fórum	aðra	leið.	anar	Fornafn	pron.	1K																aðrir -- aðrar -- önnur	annar  --  önnur -- annað									annar.mp3	another	інший	займенник
þar	ao	a	92429	48	495857	Mest er atvinnuleysi á höfuðborgarsvæðinu en	þar	eru tæplega 8.800 skráðir.	Við hittumst	þar 	í gær.	θaːr	Atviksorð	adv.	1K								þar																		þar.mp3	there	там	прислівник
frá	fs	a	89205	49.5	495282	Hann hlaut meistarapróf í hagfræði	frá	Oslóarháskóla árið 1985.	Ég fékk bréf	frá	ferðamanninum.	frauː	Forsetning	prep.	1K								frá																		frá.mp3	from, away from	від (з); подалі від	прийменник
eða	st	c	87319	51	495353	Langflestir	eða	rúmlega 9 þúsund manns eru atvinnulausir á höfuðborgarsvæðinu.	Ég kem á morgun	eða	á fimmtudag.	ɛːða	Samtenging	conj.	1K								eða																		eða.mp3	or	або	сполучник
sinn	fn	fe	81710	52	478793	Forsetinn segir þetta gefa ranga mynd af samtali	sínu	.	Barnið fann húfuna	sína	.	sɪn	Fornafn	pron.	1K																sínir -- sínar -- sín	sinn  --  sín -- sitt									sinn.mp3	his, her, their	його; її; їхній	займенник
fara	so	s	81319	53	433568	Um 100 þúsund manns	fóru	í mótmælagöngu í Dublin í gær.	Þau	fara	til Íslands.	faːra	Sagnorð	v.	1K	fer	ferð	fer	fór	fórst	fór	farið																			fara.mp3	leave, go	залишати; йти	дієслово
eftir	fs	a	79789	55	495278	Svarendur skiptust jafnt	eftir	kyni og landshlutum.	Hann kemur	eftir	klukkan 5.	ɛftɪr	Forsetning	prep.	1K								eftir																		eftir.mp3	after; along; by	після; далі; разом з; за допомогою когось (чогось)	прийменник
geta	so	s	79746	57	479125	Hún segir að niðurstaða	geti	orðið í viðræðunum innan viku.	Ég 	get	bakað köku.	cɛːta	Sagnorð	v.	1K	get	getur	getur	gat	gast	gat	getið																			geta.mp3	be able to; achieve; guess	мати можливість зробити щось; досягати чогось; припускати	дієслово
þá	ao	a	78406	58	495859	Við verðum	þá	tilbúin að taka þátt í henni.		Þá	getum við hist.	θauː	Atviksorð	adv.	1K								þá																		þá.mp3	at that time, then	у той час; тоді	прислівник
gera	so	s	76686	59	434755	Og það vildi hún ekki	gera	.	Hún vildi	gera	það.	cɛːra	Sagnorð	v.	1K	geri	gerir	gerir	gerði	gerðir	gerði	gert																			gera.mp3	do; make	робити (те,що створюємо саме руками)	дієслово
taka	so	s	76431	60	434360	Við verðum þá tilbúin að	taka	þátt í henni.	Ég	tek	upp ruslið.	tʰaːka	Sagnorð	v.	1K	tek	tekur	tekur	tók	tókst	tók	tekið																			taka.mp3	take; accept	брати; приймати	дієслово
þegar	st	c	75933	61	495383	Sjóðurinn verður því líklegast orðinn tómur	þegar	líður á haustið.	Ég kem	þegar	ég get.	θɛːɣar	Samtenging	conj.	1K								þegar																		þegar.mp3	when	коли	сполучник
mikill	lo	l	75043	62	165052	Ísland er	mesta	kvikmyndaframleiðsluríki veraldar , sé tekið mið af höfðatölu.	Við fáum	mikla	hjálp.	mɪːcɪtl̥	Lýsingarorð	adj.	1K																					mikill  --  mikil -- mikið	meiri -- meiri -- meira	mestur -- mest -- mest			mikill.mp3	much; large; great	багато; великий; чудово	прикметник
svo	ao	a	71877	63	495784	Margir bíða	svo	spenntir að sjá hvað Guðlaugur Þór Þórðarson gerir.	Hann er 	svo	spenntur að ferðast.	svɔː	Atviksorð	adv.	1K								svo																		svo.mp3	so; thus; thereafter	і так; таким чином; тому; відповідно до; після того	прислівник
hver	fn	fs	70660	64.5	478801	Þjófarnir komust undan og er ekki vitað	hverjir	þeir eru.		Hver	kom í gær?	kʰvɛr	Fornafn	pron.	1K																hverjir -- hverjar -- hver	hver  --  hver -- hvert									hver.mp3	who; each	хто; кожен	займенник
eiga	so	s	67566	66	427488	Það sé vegna þess að hún	eigi	von á barni.	Þau	eiga	fallegt hús.	eiːɣa	Sagnorð	v.	1K	á	átt	á	átti	áttir	átti	átt																			eiga.mp3	own; have; should	власни; мати; слід зробити щось	дієслово
maður	kk	nk	63544	67	5763	Þeir komust þó upp með hjálp nálægra	manna	.		Mennirnir	eru mismunandi.	maːðʏr	Nafnorð	m.	1K									mann	manni	manns	menn	menn	mönnum	manna											maður.mp3	man; person, human being	чоловік; людина; людина	іменник
upp	fs	a	57325	68.5	495339	Mjög margir gestir voru ferjaðir í þyrlu	upp	fjallið.	Við göngum	upp	fjallið.	ʏhp	Forsetning	prep.	1K								upp																		upp.mp3	up, upwards	вгор; вгору	прийменник
margur	lo	l	55717	70	478739		Margir	bíða svo spenntir að sjá hvað Guðlaugur Þór Þórðarson gerir.	Við sáum	marga	fossa.	markʏr	Lýsingarorð	adj.	1K																					margur  --  mörg -- margt	fleiri -- fleiri -- fleira	flestur -- flest -- flest			margur.mp3	many	багато	прикметник
úr	fs	a	55520	71.5	495341	Beðið er niðurstöðu	úr	blóðprufu.	Barnið drekkur	úr	glasi.	uːr	Forsetning	prep.	1K								úr																		úr.mp3	out of; from	з; від	прийменник
fá	so	s	53300	73	464090	Hrefnuveiðimenn	fengu	leyfi til að skjóta 100 hrefnur.	Ég	fæ	póst í dag.	fauː	Sagnorð	v.	1K	fæ	færð	fær	fékk	fékkst	fékk	fengið																			fá.mp3	get; be allowed	отримувати; бути дозволеним	дієслово
fram	fs	a	52103	74.5	495281	Verðlaunafhending fer	fram	laugardaginn eftir viku.	Nemendurnir fara	fram	á gang.	fram	Forsetning	prep.	1K								fram																		fram.mp3	out into the corridor; forward	виходити в коридор; попереду	прийменник
eins	ao	a	51351	76	495530	Þetta er nákvæmlega	eins	.	Þau eru alveg	eins	.	eins	Atviksorð	adv.	1K								eins																		eins.mp3	alike	подібний; такий самий; однаковий	прислівник
þú	pfn	fp	51188	78.5	403782	Núna eru sjö vikur síðan	þú	hættir störfum.		Þú	vinnur mikið.	θuː	Fornafn	pers.pron.	1K									þig	þér	þín	þið	ykkur	ykkur	ykkar											þú.mp3	you	ти	займенник
góður	lo	l	49574	81	412191	Hann er á	góðum	batavegi.	Ég borðaði	góðan	mat í gær.	kouːðʏr	Lýsingarorð	adj.	1K																					góður  --  góð -- gott	betri -- betri -- betra	bestur -- best -- best			góður.mp3	good	добре	прикметник
einn	to	t	48362	84	403788		Einn	ökumaður var stöðvaður , grunaður um akstur undir áhrifum áfengis.	Þú hefur lært mikið á 	einu	ári.	eitn̥	Töluorð	num.	1K																einir -- einar -- ein	einn  --  ein -- eitt									einn.mp3	one	один	чисельник
enginn	fn	fo	44429	87	478807	Enn hafa hins vegar	engin	svör borist.	Þau þekkja	engan	í hverfinu.	eiɲcɪn	Fornafn	pron.	1K																engir -- engar -- engin	enginn  --  engin -- ekkert									enginn.mp3	no one, nobody	ніхто; ніхто	займенник
nú	ao	a	43443	88	495707	Borgarráð fundar	nú	um málið.		Nú	er komið nýtt ár.	nuː	Atviksorð	adv.	1K								nú																		nú.mp3	now	зараз	прислівник
mega	so	s	42274	89	427489	Hann	mátti	aðeins ræða við hann í gegnum gler.	Við	megum	ekki gleyma fundinum.	meiːɣa	Sagnorð	v.	1K	má	mátt	má	mátti	máttir	mátti	mátt																			mega.mp3	be allowed	бути дозволеним	дієслово
halda	so	s	42070	90	466685	Ég	held	að hún sé ófær.	Hann	heldur	að brauðið sé búið.	halta	Sagnorð	v.	1K	held	heldur	heldur	hélt	hélst	hélt	haldið																			halda.mp3	hold; think, believe	тримати; думати; вірити	дієслово
einhver	fn	fo	41720	91	478799	Það er hægt að finna	einhverja	skynsamlega leið.	Við finnum	einhvern	góðan veitingastað.	eiŋ̥kvɛr	Fornafn	pron.	1K																einhverjir -- einhverjar -- einhver	einhver  --  einhver -- eitthvert									einhver.mp3	somebody, someone	хтось; хтось	займенник
út	fs	a	41552	92.5	495342	Leki kom að bátnum og sendu skipverjar	út	neyðarkall.	Ég gekk	út	úr tímanum.	uːt	Forsetning	prep.	1K								út																		út.mp3	out	поза чимось	прийменник
sjá	so	s	40990	94	466523	Við skulum	sjá	til hvað gerist í dag.	Hann 	sá	vin sinn í gær.	sjauː	Sagnorð	v.	1K	sé	sérð	sér	sá	sást	sá	séð																			sjá.mp3	see; spot	бачити; місцевість; пляма	дієслово
mál	hk	nh	40098	95	2381	Við fjöllum nánar um	málið	í fréttum okkar í kvöld.	Þetta verður ekkert	mál	.	mauːl	Nafnorð	n.	1K									mál	máli	máls	mál	mál	málum	mála											mál.mp3	language; issue; case	мова; питання; проблема	іменник
vel	ao	a	39496	96	400694	Hann tók ósigrinum	vel	.	Mér gengur	vel	í náminu.	vɛːl	Atviksorð	adv.	1K																								betur	best	vel.mp3	well, fine	добре	прислівник
dagur	kk	nk	38978	97	5752	Þetta kemur fram í Fréttablaðinu í	dag	.	Í 	dag	er gott veður.	taːɣʏr	Nafnorð	m.	1K									dag	degi	dags	dagar	daga	dögum	daga											dagur.mp3	day	день	іменник
ef	st	c	38860	98	495355	Húsið er stórskemmt	ef	ekki ónýtt.	Ég verð of sein	ef	strætó kemur ekki bráðum.	ɛːf	Samtenging	conj.	1K								ef																		ef.mp3	if	якщо	сполучник
finna	so	s	38003	99	434208	Þegar húsráðendur komu heim í nótt	fundu	þau þjófinn sofandi.	Ég	finn	ekki bókina mína.	fɪna	Sagnorð	v.	1K	finn	finnur	finnur	fann	fannst	fann	fundið																			finna.mp3	find; feel, sense	знайти щось (когось); відчувати; сприйняття; значення	дієслово
vegna	fs	a	37476	100.5	495344	Hann hefur sett sig í samband við lögfræðing	vegna	málsins.	Við komumst ekki	vegna	veðurs.	vɛkna	Forsetning	prep.	1K								vegna																		vegna.mp3	because of	тому що	прийменник
land	hk	nh	37074	102	2215	Mikilvægast væri að fjölga störfum í	landinu	.	Fjölskyldan fór hringinn í kringum	landið	.	lant	Nafnorð	n.	1K									land	landi	lands	lönd	lönd	löndum	landa											land.mp3	land; country; estate	земля; почва; суша; країна; земельне володіння; маєток	іменник
hér	ao	a	36997	103	495602	Þær séu	hér	til þess að safna sér pening.	Þú fannst köttinn 	hér	í gær.	çɛːr	Atviksorð	adv.	1K								hér																		hér.mp3	here	тут	прислівник
þurfa	so	s	35848	104	427490	Lækka	þurfi	vexti hratt og örugglega.	Við	þurfum	að borða mikið.	θʏrva	Sagnorð	v.	1K	þarf	þarft	þarf	þurfti	þurftir	þurfti	þurft																			þurfa.mp3	need; have to	потреба; повинен	дієслово
hjá	fs	a	35395	105.5	495291	Maðurinn viðurkenndi við yfirheyrslur	hjá	lögreglu að hafa selt áfengi.	Ég var	hjá	lækni í morgun.	çauː	Forsetning	prep.	1K								hjá																		hjá.mp3	beside; with	поряд; коло; вблиз; біля; окрім; з	прийменник
vegur	kk	nk	34963	107	5749	Enn hafa hins	vegar	engin svör borist.		Vegurinn	er langur.	vɛːɣʏr	Nafnorð	m.	1K									veg	vegi	vegar	vegir	vegi	vegum	vega											vegur.mp3	road; way	дорога; шлях; спосіб	іменник
yfir	fs	a	34307	109	495349	Hrina eftirskjálfta hefur staðið yfir með nokkrum skjálftum	yfir	3 stig.	Við göngum	yfir	brúna.	ɪːvɪr	Forsetning	prep.	1K								yfir																		yfir.mp3	across, over	поперек; перейти щось (дорогу, міст,); над	прийменник
minn	fn	fe	33564	111	478792	En fólkið	mitt	þarf ekki að bíða lengi.	Kötturinn	minn	er grár.	mɪn	Fornafn	pron.	1K																mínir -- mínar -- mín	minn  --  mín -- mitt									minn.mp3	my	мій	займенник
nokkur	fn	fo	33559	112	478806	Sjóðurinn gerir þó	nokkrar	athugasemdir við frumvarpið.	Barnið velur 	nokkur	blóm.	nɔhkʏr	Fornafn	pron.	1K																nokkrir -- nokkrar -- nokkur	nokkur  --  nokkur -- nokkurt									nokkur.mp3	a few	декілька; кілька	займенник
telja	so	s	33240	113	417912	Lögregla	telur	að hann hafi látist samstundis.	Ég	tel	6 hesta.	tʰɛlja	Sagnorð	v.	1K	tel	telur	telur	taldi	taldir	taldi	talið																			telja.mp3	count; think, believe	рахувати; думати; вірити	дієслово
lag	hk	nh	32632	114	2208	Heimildir séu fyrir því í	lögum	.	Ég elska þetta	lag	.	laːɣ	Nafnorð	n.	1K									lag	lagi	lags	lög	lög	lögum	laga											lag.mp3	tune; layer	мелодія; мотив; слой; пласт	іменник
þó	ao	a	32359	115	495865	Þeir komust	þó	upp með hjálp nálægra manna.	Hún gekk	þó	ekki langt.	θouː	Atviksorð	adv.	1K								þó																		þó.mp3	though; yet	хоча; не дивлячись на; все ж таки; до сих пір	прислівник
barn	hk	nh	31556	116	496	Það sé vegna þess að hún eigi von á	barni	.	Þau eignuðust	barn	í fyrra.	partn̥	Nafnorð	n.	1K									barn	barni	barns	börn	börn	börnum	barna											barn.mp3	child, offspring	дитина; потомок; нащадок	іменник
munu	so	s	31363	117	469286	Sértækar aðgerðir	myndu	draga bæði úr sýkingar- og dánartíðni.	Við	munum	fá frí.	mʏːnʏ	Sagnorð	v.	1K	mun	munt	mun																							munu.mp3	will	буду	дієслово
einnig	ao	a	30688	118	495528	Aðrir stjórnmálamenn hafa	einnig	tjáð sig.	Ég keypti	einnig	mjólk.	eitnɪɣ	Atviksorð	adv.	1K								einnig																		einnig.mp3	also	також	прислівник
tími	kk	nk	30615	119	7670	Bréf hans er sent til fjölmiðla á ellefta	tímanum	í morgun.	Þetta tók langan	tíma	.	tʰiːmɪ	Nafnorð	m.	1K									tíma	tíma	tíma	tímar	tíma	tímum	tíma											tími.mp3	time; hour; class, lesson	час; година; клас; урок	іменник
staður	kk	nk	30494	120	5661	Slysið átti sér	stað	um klukkan átta í gærkvöldi.	Hittumst á þessum	stað	.	staːðʏr	Nafnorð	m.	1K									stað	stað	staðar	staðir	staði	stöðum	staða											staður.mp3	place	місце	іменник
leggja	so	s	30422	121	426089	Nokkurn reyk	lagði	yfir bæinn og hringdu margir í lögreglu.	Ég 	legg	bílnum við húsið.	lɛca	Sagnorð	v.	1K	legg	leggur	leggur	lagði	lagðir	lagði	lagt																			leggja.mp3	park; lay	класти; покласти	дієслово
hinn	fn	fa	29842	122	478791	Enn hafa	hins	vegar engin svör borist.	Ég finn ekki	hinn	skóinn.	hɪn	Fornafn	pron.	1K																hinir -- hinar -- hin	hinn  --  hin -- hitt									hinn.mp3	the other	інший	займенник
fólk	hk	nh	29802	123	1142	Þannig að það verður gaman fyrir	fólk	að sjá.	Við sáum mikið af	fólki	.	foul̥k	Nafnorð	n.	1K									fólk	fólki	fólks															fólk.mp3	people	люди	іменник
vilja	so	s	29103	124	427494	Og það	vildi	hún ekki gera.	Hann	vill	ekki borða.	vɪlja	Sagnorð	v.	1K	vil	vilt	vill	vildi	vildir	vildi	viljað																			vilja.mp3	want, wish	хотіти; бажати	дієслово
nýr	lo	l	29065	125	408191	Þá verður kjörinn	nýr	formaður að þessu sinni.	Við keyptum	nýtt	borð.	niːr	Lýsingarorð	adj.	1K																					nýr  --  ný -- nýtt	nýrri -- nýrri -- nýrra	nýjastur -- nýjust -- nýjast			nýr.mp3	new	новий	прикметник
tveir	to	t	29037	127	403789	Kosningarnar standa í	tvær	vikur og fara fram í gegnum netið.	Ég vinn í 	tvær	vikur.	tʰveiːr	Töluorð	num.	1K																tveir -- tvær -- tvö	tveir  --									tveir.mp3	two	два	чисельник
standa	so	s	29009	129	478545	Kosningarnar	standa	í tvær vikur og fara fram í gegnum netið.	Ég	stend	allan daginn.	stanta	Sagnorð	v.	1K	stend	stendur	stendur	stóð	stóðst	stóð	staðið																			standa.mp3	stand; be written	стояти; бути написаним	дієслово
grein	kvk	nv	28243	130	10348	Hann skrifar langa	grein	í miðopnu Morgunblaðsins í dag.	Margar	greinar	eru á trénu.	kreiːn	Nafnorð	f.	1K									grein	grein	greinar	greinar	greinar	greinum	greina											grein.mp3	branch; subject, field; article	відділення; галузь; філіал; предмет; поле; стаття	іменник
hinn	gr	g	27844	131	403787	Hann brást	hinn	versti við og réðst að lögreglumönnunum.		Hin	góða kona hjálpaði okkur.	hɪn	Greinir	art.	1K																hinir -- hinar -- hin	hinn  --  hin -- hið									hinn.mp3	the	цей (артикль)	артикль
mjög	ao	a	27328	132	416508	Húsið er	mjög	illa farið , jafnvel ónýtt.	Húsið er	mjög	fallegt.	mjœːɣ	Atviksorð	adv.	1K																								meir	mest	mjög.mp3	very	дуже	прислівник
bera	so	s	27136	133	478219	Enn hafa hins vegar engin svör	borist	.	Við 	berum	sófann milli hæða.	pɛːra	Sagnorð	v.	1K	ber	berð	ber	bar	barst	bar	borið																			bera.mp3	carry; bear	нести; везти; перевозити;	дієслово
lítill	lo	l	26653	134	165051		Litlar	skemmdir urðu á húsnæðinu.	Við sáum	lítinn	fugl.	liːtɪtl̥	Lýsingarorð	adj.	1K																					lítill  --  lítil -- lítið	minni -- minni -- minna	minnstur -- minnst -- minnst			lítill.mp3	small	малий	прикметник
samur	fn	fb	26457	135	480217		Sams	konar mál kom upp fyrir ári síðan.	Þau völdu	sama	litinn.	saːmʏr	Fornafn	pron.	1K																samir -- samar -- söm	samur  --  söm -- samt									samur.mp3	same	такий самий	дієслово
bara	ao	a	25533	136	495483	Kreppan sem nú herji á heiminn sé ekki	bara	mál Íslendinga.	Börnin vilja	bara	nammi.	paːra	Atviksorð	adv.	1K								bara																		bara.mp3	only, just	тільки; просто	прислівник
íslenskur	lo	l	25164	137	408874	Samhliða uppboðinu verður haldin ráðstefna um	íslenska	listamenn.	Við hittum	íslenskan	ferðamann.	istlɛnskʏr	Lýsingarorð	adj.	1K																					íslenskur  --  íslensk -- íslenskt	íslenskari -- íslenskari -- íslenskara	íslenskastur -- íslenskust -- íslenskast			íslenskur.mp3	Icelandic	ісландська	прикметник
ganga	so	s	25055	138	478540	Ég	gekk	til þessa samstarf hérna fyrir þremur árum.	Ég	geng	í miðbæinn.	kauŋka	Sagnorð	v.	1K	geng	gengur	gengur	gekk	gekkst	gekk	gengið																			ganga.mp3	walk	ходити	дієслово
setja	so	s	24541	139	476695	Hann hafi aðeins verið að	setja	málið í samhengi.	Hann	setur	blóm í vasa.	sɛːtja	Sagnorð	v.	1K	set	setur	setur	setti	settir	setti	sett																			setja.mp3	put, place	положити; класти	дієслово
vita	so	s	24283	140	427495	Lögreglan	veit	hver árásarmaðurinn er.	Ég	veit	það ekki.	vɪːta	Sagnorð	v.	1K	veit	veist	veit	vissi	vissir	vissi	vitað																			vita.mp3	know	знати	дієслово
gefa	so	s	23940	141	434231	Framvegis verður blaðið aðeins	gefið	út á netinu.	Vinur minn	gaf 	mér blóm.	cɛːva	Sagnorð	v.	1K	gef	gefur	gefur	gaf	gafst	gaf	gefið																			gefa.mp3	give	давати	дієслово
þannig	ao	a	23881	142	495856	Hann hefur ekki verið yfirheyrður	þannig	að málsatvik liggja ekki fyrir.	Lestu hátt	þannig	að ég heyri.	θanɪɣ	Atviksorð	adv.	1K								þannig																		þannig.mp3	so, thus; such	і так; таким чином; тому; такий	прислівник
vinna	so	s	23473	143	485738	Ráðherra sagði hópinn eiga að	vinna	hratt.	Hún	vinnur	alla daga.	vɪna	Sagnorð	v.	1K	vinn	vinnur	vinnur	vann	vannst	vann	unnið																			vinna.mp3	work; win	працювати; вигравати	дієслово
saman	ao	a	23410	144	495734	Fjárlaganefnd kom aftur	saman	klukkan níu í morgun.	Við förum	saman	í veisluna.	saːman	Atviksorð	adv.	1K								saman																		saman.mp3	together	разом	прислівник
láta	so	s	23362	145	433660	Þeir	láta	sig hafa flutningana þrátt fyrir nokkur óþægindi.	Ég	læt 	þig fá pening.	lauːta	Sagnorð	v.	1K	læt	lætur	lætur	lét	lést	lét	látið																			láta.mp3	put; let, make	ставити / класти; дозволяти; робити щось	дієслово
undir	fs	a	23109	147	495338	Hann er einnig grunaður um akstur	undir	áhrifum fíkniefna í nótt.	Kassinn er	undir 	rúmi.	ʏntɪr	Forsetning	prep.	1K								undir																		undir.mp3	under	під	прийменник
skulu	so	s	22900	149	469284	Við	skulum	sjá til hvað gerist í dag.	Við	skulum	hittast í dag.	skʏːlʏ	Sagnorð	v.	1K	skal	skalt	skal																							skulu.mp3	shall, must	маєш / повинен	дієслово
